"base image","thumbnail","small image","SKU","Цвет","Материал верха","Подкладка","analpa_razmer","Стелька","Сегмент","Сезон","год","Марка","Тип","status"
"/ss-2015/keddo/857507-01-01W.jpg","/ss-2015/keddo/857507-01-01W.jpg","/ss-2015/keddo/857507-01-01W.jpg","857507/01-01W","черный/белый","резина/текстиль","текстиль","36-40(1-2-2-2-1)","текстиль","женские","весна",2014,"KEDDO","сапоги",1
"/ss-2015/keddo/857507-01-03W.jpg","/ss-2015/keddo/857507-01-03W.jpg","/ss-2015/keddo/857507-01-03W.jpg","857507/01-03W","белый","резина","текстиль","36-40(1-2-2-2-1)","текстиль","женские","весна",2014,"KEDDO","сапоги",1
"/ss-2015/keddo/857508-01-02W.jpg","/ss-2015/keddo/857508-01-02W.jpg","/ss-2015/keddo/857508-01-02W.jpg","857508/01-02W","черный","резина","текстиль","36-40(1-2-2-2-1)","текстиль","женские","весна",2014,"KEDDO","ботинки",1
"/ss-2015/keddo/857508-01-03W.jpg","/ss-2015/keddo/857508-01-03W.jpg","/ss-2015/keddo/857508-01-03W.jpg","857508/01-03W","бежевый/черный","резина","текстиль","36-40(1-2-2-2-1)","текстиль","женские","весна",2014,"KEDDO","ботинки",1
"/ss-2015/keddo/857509-02-01W.jpg","/ss-2015/keddo/857509-02-01W.jpg","/ss-2015/keddo/857509-02-01W.jpg","857509/02-01W","белый","ПВХ","без подкладки","36-40(1-2-2-2-1)","байка","женские","весна",2014,"KEDDO","ботинки",1
"/ss-2015/keddo/857509-01-01W.jpg","/ss-2015/keddo/857509-01-01W.jpg","/ss-2015/keddo/857509-01-01W.jpg","857509/01-01W","черный","ПВХ","текстиль","36-40(1-2-2-2-1)","текстиль","женские","весна",2014,"KEDDO","ботинки",1
"/ss-2015/keddo/857510-01-15W.jpg","/ss-2015/keddo/857510-01-15W.jpg","/ss-2015/keddo/857510-01-15W.jpg","857510/01-15W","серый","резина","ворсин","36-40(1-2-2-2-1)","ворсин","женские","весна",2014,"KEDDO","полусапоги",1
"/ss-2015/keddo/857510-01-19W.jpg","/ss-2015/keddo/857510-01-19W.jpg","/ss-2015/keddo/857510-01-19W.jpg","857510/01-19W","коричневый","резина","ворсин","36-40(1-2-2-2-1)","ворсин","женские","весна",2014,"KEDDO","полусапоги",1
"/ss-2015/keddo/857510-01-22W.jpg","/ss-2015/keddo/857510-01-22W.jpg","/ss-2015/keddo/857510-01-22W.jpg","857510/01-22W","черный/розовый","резина","ворсин","36-40(1-2-2-2-1)","ворсин","женские","весна",2014,"KEDDO","полусапоги",1
"/ss-2015/keddo/857510-01-23W.jpg","/ss-2015/keddo/857510-01-23W.jpg","/ss-2015/keddo/857510-01-23W.jpg","857510/01-23W","черный","резина","ворсин","36-40(1-2-2-2-1)","ворсин","женские","весна",2014,"KEDDO","полусапоги",1
